Language;English;French;German;Italian;Portuguese;Romanian;Romansh;Russian;Spanish;Polish;Dutch;Swedish;Norwegian;Danish
English;1;0.27;0.6;0;0;0;0;0.24;0;0;0;0;0;0
French;0.27;1;0.29;0.89;0.75;0.75;0.78;0;0.75;0;0;0;0;0
German;0.6;0.29;1;0;0;0;0;0;0;0;0.84;0;0;0
Italian;0;0.89;0;1;0;0.77;0.78;0;0.82;0;0;0;0;0
Portuguese;0;0.75;0;0;1;0.72;0.74;0;0.89;0;0;0;0;0
Romanian;0;0.75;0;0.77;0.72;1;0.72;0;0.71;0;0;0;0;0
Russian;0.24;0;0;0;0;0;0;1;0;0.38;0;0;0;0
Spanish;0;0.75;0;0.82;0.89;0.71;0.74;0;1;0;0;0;0;0
Polish;0;0;0;0;0;0;0;0.38;0;1;0;0;0;0
Dutch;0;0;0.84;0;0;0;0;0;0;0;1;0;0;0
Swedish;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Norwegian;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Danish;0;0;0;0;0;0;0;0;0;0;0;0;0;0
